carry_id,coin,notional_usdt,marge_usdt,levier,hedge_ratio,net_delta_usd,entry_basis_bps,entry_basis_mid_bps,cout_entree_bps,cout_sortie_bps,funding_couru_usd,net_funding_settled,funding_accrual_estimate,heures_reglees,age_h,revenu_jour_usd,pnl_si_ferme_maintenant_usd,rendement_par_marge_par_jour_bps,renforts,statut_donnees
AVAX@1784643138006,AVAX,228.58,114.29,2.0,1.0,0.0,-3.27,70.2509,14.27,11.0,0.0,0.0,0.0,0.0,0.36,0.068574,-0.502876,6.0,0,HEDGE_MODELISE_NON_MESURE
AZTEC@1784556114176,AZTEC,77.7675,51.845,1.5,1.0,0.0,-5.42,,16.42,11.0,0.019789,0.01936197,0.00042703,24.0,24.53,0.02333,-0.1513,4.5,0,HEDGE_MODELISE_NON_MESURE
BTC@1784563971515,BTC,125.0,25.0,5.0,1.0,0.0,0.61,,10.39,11.0,0.034893,0.03435161,0.00054139,22.0,22.35,0.0375,-0.240107,15.0,0,HEDGE_MODELISE_NON_MESURE
ETH@1784563971515,ETH,100.0,50.0,2.0,1.0,0.0,4.74,,6.26,11.0,0.027901,0.02746809,0.00043291,22.0,22.35,0.03,-0.192099,6.0,0,HEDGE_MODELISE_NON_MESURE
HYPE@1784484196816,HYPE,75.0,50.0,1.5,1.0,0.0,0.33,,10.67,11.0,0.041721,0.04124632,0.00047468,44.0,44.51,0.0225,-0.123279,4.5,0,HEDGE_MODELISE_NON_MESURE
MON@1784566319873,MON,128.3483,128.3483,1.0,1.0,0.0,-2.49,,13.49,11.0,0.03448,0.03448,0.0,22.0,21.69,0.038504,-0.247886,3.0,0,HEDGE_MODELISE_NON_MESURE
PURR@1784534211822,PURR,75.0,50.0,1.5,1.0,0.0,-3.25,,14.25,11.0,0.02869,0.02869,0.0,31.0,30.61,0.0225,-0.13631,4.5,0,HEDGE_MODELISE_NON_MESURE
SOL@1784563971515,SOL,91.23,60.82,1.5,1.0,0.0,-0.64,,11.64,11.0,0.025417,0.02502264,0.00039436,22.0,22.35,0.027369,-0.175289,4.5,0,HEDGE_MODELISE_NON_MESURE
STABLE@1784575714358,STABLE,189.0071,126.0047,1.5,1.0,0.0,-18.36,9.9646,29.36,11.0,0.043909,0.04371384,0.00019516,19.0,19.08,0.056702,-0.371907,4.5,0,HEDGE_MODELISE_NON_MESURE
VIRTUAL@1784564824771,VIRTUAL,174.3355,116.2237,1.5,1.0,0.0,-10.61,,21.61,11.0,0.048152,0.04791306,0.00023894,22.0,22.11,0.052301,-0.335386,4.5,0,HEDGE_MODELISE_NON_MESURE
XPL@1784563971515,XPL,50.0,50.0,1.0,1.0,0.0,-3.41,,14.41,11.0,0.013941,0.01372469,0.00021631,22.0,22.35,0.015,-0.096059,3.0,0,HEDGE_MODELISE_NON_MESURE
ZEC@1784622105553,ZEC,88.89,88.89,1.0,1.0,0.0,-4.63,2.8335,15.63,11.0,0.006868,0.00664819,0.00021981,6.0,6.2,0.026667,-0.18869,3.0,0,HEDGE_MODELISE_NON_MESURE
