adresse,n_fills_mesures,markout_moyen_bps,motif,predit,statut,fills_manquants_pour_trancher
0x5323b92268b4e140ac2133c677e991cd9ad1b23c,8,43.959455409200906,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,12
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,1,12.957112473930863,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,19
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,6,8.75433490492241,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,14
0xf5d81a135f756ca16544e53c20fc20643ec3ad53,96,-4.0926,LEADER_CONTRARIEN_OU_NEUTRE,False,LOCKED_NEGATIVE_EDGE,0
0xbeccae9ffcb69e9d42a1d4e744abf8056149562d,2,-15.609655243706941,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,18
0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,5,-21.38384949758852,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,15
0x31dea2516beee92135b96f464eeec3cf292a13f2,11,-23.66387734743502,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,9
0x57002993f7e6939385852b15209bb86c8caff854,5,-25.300033182976353,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,15
0x71d0e11ebb6150cebe20cf62f798be1a50108c26,27,-34.0578,LEADER_CONTRARIEN_OU_NEUTRE,False,LOCKED_NEGATIVE_EDGE,0
0x5306cb5adfbaf940ce3dba0ac41d903dc70a766e,4,-34.457501299885855,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,16
0x39475d17bcd20adc540e647dae6781b153fbf3b1,3,-79.25379674381753,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,17
0xf9109ada2f73c62e9889b45453065f0d99260a2d,5,-83.65461930775191,TROP_PEU_D_EVENEMENTS,False,LOCKED_NO_DATA,15
