ts,coin,ecart_bps,au_dessus_du_seuil_actuel,couvre_les_couts,venue_riche,prix_executable_mesure
1784636710.699,MKR,71.4431,True,True,HL,False
1784637014.447,MKR,71.4431,True,True,HL,False
1784637318.855,MKR,71.4431,True,True,HL,False
1784637622.226,MKR,71.4431,True,True,HL,False
1784637925.926,MKR,71.4431,True,True,HL,False
1784638229.755,MKR,71.4431,True,True,HL,False
1784638533.665,MKR,71.4431,True,True,HL,False
1784638837.884,MKR,71.4431,True,True,HL,False
1784639141.827,MKR,71.4431,True,True,HL,False
1784639445.807,MKR,71.4431,True,True,HL,False
1784639749.948,MKR,71.4431,True,True,HL,False
1784640053.761,MKR,71.4431,True,True,HL,False
1784640357.586,MKR,71.4431,True,True,HL,False
1784640660.936,MKR,71.4431,True,True,HL,False
1784640965.156,MKR,71.4431,True,True,HL,False
1784641269.462,MKR,71.4431,True,True,HL,False
1784641572.925,MKR,71.4431,True,True,HL,False
1784641876.905,MKR,71.4431,True,True,HL,False
1784642181.307,MKR,71.4431,True,True,HL,False
1784642485.583,MKR,71.4431,True,True,HL,False
1784642789.804,MKR,71.4431,True,True,HL,False
1784643093.789,MKR,71.4431,True,True,HL,False
1784643397.546,MKR,71.4431,True,True,HL,False
1784643701.283,MKR,71.4431,True,True,HL,False
1784644005.272,MKR,71.4431,True,True,HL,False
1784644309.169,MKR,71.4431,True,True,HL,False
1784644613.105,MKR,71.4431,True,True,HL,False
1784644917.022,MKR,71.4431,True,True,HL,False
1784637622.226,OP,-16.4271,True,True,BINANCE,False
1784644917.022,OP,-15.0223,True,True,BINANCE,False
1784644613.105,ENA,14.7558,False,True,HL,False
1784639445.807,OP,-14.433,False,True,BINANCE,False
1784641876.905,HYPE,-14.3906,False,True,BINANCE,False
1784638837.884,RUNE,14.2789,False,True,HL,False
1784638229.755,LDO,14.2734,False,True,HL,False
1784640357.586,GMX,14.041,False,True,HL,False
1784632952.579,OP,-13.602,False,True,BINANCE,False
1784634203.601,OP,-13.4436,False,True,BINANCE,False
1784636710.699,RUNE,13.4411,False,True,HL,False
1784639749.948,OP,-13.4021,False,True,BINANCE,False
1784635722.432,OP,-13.3745,False,True,BINANCE,False
1784639749.948,GMX,13.3627,False,True,HL,False
1784637925.926,RUNE,13.2854,False,True,HL,False
1784635418.393,OP,-13.1292,False,True,BINANCE,False
1784638229.755,RUNE,12.647,False,True,HL,False
1784642485.583,OP,-12.6356,False,True,BINANCE,False
1784643093.789,OP,-12.631,False,True,BINANCE,False
1784637014.447,OP,-12.5591,False,True,BINANCE,False
1784638533.665,RUNE,12.4279,False,True,HL,False
1784640053.761,OP,-12.3839,False,True,BINANCE,False
1784638229.755,OP,-12.3457,False,True,BINANCE,False
1784637925.926,OP,-12.3203,False,True,BINANCE,False
1784641572.925,ENA,12.2694,False,True,HL,False
1784639141.827,RUNE,12.2087,False,True,HL,False
1784638837.884,ENA,12.1835,False,True,HL,False
1784640053.761,RUNE,12.0771,False,True,HL,False
1784640660.936,GMX,12.0648,False,True,HL,False
1784642485.583,RUNE,12.032,False,True,HL,False
1784643701.283,OP,-11.9587,False,True,BINANCE,False
1784642181.307,OP,-11.9512,False,True,BINANCE,False
1784640357.586,ENA,11.8028,False,True,HL,False
1784637014.447,RUNE,11.7647,False,True,HL,False
1784637622.226,SNX,-11.7499,False,True,BINANCE,False
1784644309.169,BLUR,11.6629,False,True,HL,False
1784637318.855,RUNE,11.4375,False,True,HL,False
1784637318.855,OP,-11.3636,False,True,BINANCE,False
1784636710.699,OP,-11.3402,False,True,BINANCE,False
1784644309.169,OP,-11.3402,False,True,BINANCE,False
1784644613.105,OP,-11.3402,False,True,BINANCE,False
1784644613.105,CRV,10.8662,False,True,HL,False
1784643397.546,ENA,10.6292,False,True,HL,False
1784636710.699,GMX,10.6056,False,True,HL,False
1784632648.423,OP,-10.3627,False,True,BINANCE,False
1784633292.414,OP,-10.352,False,True,BINANCE,False
1784641572.925,OP,-10.352,False,True,BINANCE,False
1784639445.807,RUNE,10.3485,False,True,HL,False
1784640660.936,RUNE,10.2962,False,True,HL,False
1784632988.416,OP,-10.2797,False,True,BINANCE,False
1784643701.283,RUNE,10.2154,False,True,HL,False
1784640053.761,GMX,10.1928,False,True,HL,False
1784639141.827,GMX,10.1445,False,True,HL,False
1784638533.665,GMX,10.0,False,True,HL,False
1784641876.905,BNB,-9.9821,False,True,BINANCE,False
1784644005.272,RUNE,9.8853,False,True,HL,False
1784644917.022,ENA,9.8311,False,True,HL,False
1784640965.156,GMX,9.7192,False,True,HL,False
1784640660.936,BNB,-9.7178,False,True,BINANCE,False
1784639141.827,ADA,9.5722,False,True,HL,False
1784644005.272,WIF,9.5668,False,True,HL,False
1784640357.586,OP,-9.5338,False,True,BINANCE,False
1784638837.884,NEAR,9.522,False,True,HL,False
1784640965.156,HYPE,-9.4215,False,True,BINANCE,False
1784636710.699,BLUR,9.4174,False,True,HL,False
1784640357.586,BNB,-9.3557,False,True,BINANCE,False
1784638837.884,OP,-9.29,False,True,BINANCE,False
1784639141.827,OP,-9.2688,False,True,BINANCE,False
1784639141.827,CRV,9.2151,False,True,HL,False
1784642181.307,BNB,-9.1694,False,True,BINANCE,False
1784641876.905,OP,-9.1498,False,True,BINANCE,False
1784644005.272,ADA,9.1481,False,True,HL,False
1784642789.804,JUP,9.1365,False,True,HL,False
1784639445.807,ENA,9.104,False,True,HL,False
1784640357.586,BLUR,9.0751,False,True,HL,False
1784644005.272,BLUR,9.0381,False,True,HL,False
1784644917.022,BLUR,9.0381,False,True,HL,False
1784642789.804,BNB,-9.0212,False,True,BINANCE,False
1784640965.156,BLUR,9.0094,False,True,HL,False
1784644005.272,OP,-8.9975,False,True,BINANCE,False
1784641572.925,GMX,8.9672,False,True,HL,False
1784641269.462,GMX,8.9582,False,True,HL,False
1784636710.699,BNB,-8.9385,False,True,BINANCE,False
1784642789.804,ENA,8.9215,False,True,HL,False
1784644309.169,ENA,8.912,False,True,HL,False
1784643397.546,GMX,8.8908,False,True,HL,False
1784631591.465,OP,-8.8583,False,True,BINANCE,False
1784641572.925,BLUR,8.8175,False,True,HL,False
1784638229.755,BNB,-8.8174,False,True,BINANCE,False
1784640965.156,BNB,-8.8013,False,True,BINANCE,False
1784644613.105,LTC,8.7958,False,True,HL,False
1784638533.665,ENA,8.7896,False,True,HL,False
1784638229.755,ENA,8.7558,False,True,HL,False
1784640965.156,DOT,-8.724,False,True,BINANCE,False
1784636103.231,OP,-8.7033,False,True,BINANCE,False
1784642485.583,ENA,8.6732,False,True,HL,False
1784637318.855,APT,-8.6629,False,True,BINANCE,False
1784639749.948,BNB,-8.65,False,True,BINANCE,False
1784639141.827,BNB,-8.6498,False,True,BINANCE,False
1784641572.925,NEAR,8.5902,False,True,HL,False
1784640053.761,ENA,8.5709,False,True,HL,False
1784644005.272,JUP,8.5563,False,True,HL,False
1784637318.855,JUP,8.5256,False,True,HL,False
1784637318.855,CRV,8.5128,False,True,HL,False
1784637925.926,GMX,8.4615,False,True,HL,False
1784637014.447,GMX,8.4563,False,True,HL,False
1784643093.789,ENA,8.4498,False,True,HL,False
1784641876.905,FIL,-8.4399,False,True,BINANCE,False
1784643701.283,BLUR,8.4387,False,True,HL,False
1784644613.105,GMX,8.4039,False,True,HL,False
1784638229.755,CRV,8.3877,False,True,HL,False
1784638837.884,GMX,8.3717,False,True,HL,False
1784643397.546,BLUR,8.336,False,True,HL,False
1784643093.789,BNB,-8.331,False,True,BINANCE,False
1784639141.827,NEAR,8.3123,False,True,HL,False
1784638533.665,BNB,-8.2846,False,True,BINANCE,False
1784641269.462,OP,-8.2816,False,True,BINANCE,False
1784640965.156,OP,-8.2645,False,True,BINANCE,False
1784644613.105,JUP,8.2516,False,True,HL,False
1784643397.546,OP,-8.2474,False,True,BINANCE,False
1784642789.804,OP,-8.2389,False,True,BINANCE,False
1784638533.665,OP,-8.2216,False,True,BINANCE,False
1784644613.105,BNB,-8.1674,False,True,BINANCE,False
1784641572.925,BNB,-8.1467,False,True,BINANCE,False
1784643701.283,NEAR,8.1157,False,True,HL,False
1784634507.435,OP,-8.0531,False,True,BINANCE,False
1784640357.586,ARB,-8.032,False,True,BINANCE,False
1784641572.925,ARB,-8.0277,False,True,BINANCE,False
1784637014.447,BNB,-8.02,False,True,BINANCE,False
1784640965.156,RUNE,8.0018,False,True,HL,False
1784644005.272,BNB,-8.0004,False,True,BINANCE,False
1784644917.022,BNB,-7.9962,False,False,BINANCE,False
1784637014.447,ENA,7.9962,False,False,HL,False
1784643397.546,LDO,7.992,False,False,HL,False
1784641269.462,ADA,7.9863,False,False,HL,False
1784644309.169,CRV,7.9617,False,False,HL,False
1784642485.583,BNB,-7.9216,False,False,BINANCE,False
1784642485.583,CRV,7.9157,False,False,HL,False
1784640660.936,PYTH,7.8925,False,False,HL,False
1784642181.307,ENA,7.87,False,False,HL,False
1784638837.884,CRV,7.8188,False,False,HL,False
1784642181.307,LINK,7.8183,False,False,HL,False
1784644613.105,ARB,-7.8081,False,False,BINANCE,False
1784640053.761,BNB,-7.7889,False,False,BINANCE,False
1784637925.926,BNB,-7.7843,False,False,BINANCE,False
1784634811.112,OP,-7.7825,False,False,BINANCE,False
1784637014.447,BLUR,7.771,False,False,HL,False
1784644309.169,PYTH,7.7674,False,False,HL,False
1784635722.432,ARB,-7.7623,False,False,BINANCE,False
1784644613.105,BLUR,7.6813,False,False,HL,False
1784644613.105,LDO,7.6784,False,False,HL,False
1784644309.169,BNB,-7.6628,False,False,BINANCE,False
1784635799.102,OP,-7.6218,False,False,BINANCE,False
1784639445.807,BNB,-7.6152,False,False,BINANCE,False
1784639445.807,JUP,7.5038,False,False,HL,False
1784641876.905,ARB,-7.4919,False,False,BINANCE,False
1784633899.71,OP,-7.4918,False,False,BINANCE,False
1784643397.546,CRV,7.4561,False,False,HL,False
1784640660.936,CRV,7.455,False,False,HL,False
1784638837.884,ADA,7.4518,False,False,HL,False
1784637925.926,NEAR,7.4341,False,False,HL,False
1784636710.699,ADA,7.4286,False,False,HL,False
1784636710.699,APT,-7.4188,False,False,BINANCE,False
1784643397.546,ADA,7.4032,False,False,HL,False
1784642181.307,ARB,-7.3888,False,False,BINANCE,False
1784644917.022,JUP,7.3626,False,False,HL,False
1784637318.855,BNB,-7.2698,False,False,BINANCE,False
1784632040.234,OP,-7.269,False,False,BINANCE,False
1784635799.102,SUI,7.2616,False,False,HL,False
1784644005.272,ENA,7.2299,False,False,HL,False
1784642789.804,PYTH,7.2155,False,False,HL,False
1784644005.272,LINK,7.142,False,False,HL,False
1784637622.226,BNB,-7.0927,False,False,BINANCE,False
1784643701.283,GMX,7.09,False,False,HL,False
1784644917.022,LTC,7.0726,False,False,HL,False
1784644917.022,LDO,7.0596,False,False,HL,False
1784643397.546,JUP,7.0246,False,False,HL,False
1784644917.022,CRV,6.993,False,False,HL,False
1784641572.925,HYPE,-6.9896,False,False,BINANCE,False
1784643397.546,LINK,6.9529,False,False,HL,False
1784644613.105,PYTH,6.8831,False,False,HL,False
1784637622.226,RUNE,6.8729,False,False,HL,False
1784639141.827,LTC,6.8726,False,False,HL,False
1784644613.105,ATOM,-6.8671,False,False,BINANCE,False
1784641572.925,LDO,6.8459,False,False,HL,False
1784639445.807,CRV,6.838,False,False,HL,False
1784644005.272,LDO,6.8273,False,False,HL,False
1784641269.462,BNB,-6.816,False,False,BINANCE,False
1784642181.307,AAVE,6.8076,False,False,HL,False
1784644005.272,ORDI,6.7866,False,False,HL,False
1784642789.804,CRV,6.774,False,False,HL,False
1784639141.827,SNX,6.7739,False,False,HL,False
1784640357.586,ORDI,6.7406,False,False,HL,False
1784638229.755,ARB,-6.6888,False,False,BINANCE,False
1784640660.936,BLUR,6.6814,False,False,HL,False
1784640965.156,ARB,-6.6659,False,False,BINANCE,False
1784639749.948,ARB,-6.643,False,False,BINANCE,False
1784631736.099,OP,-6.6077,False,False,BINANCE,False
1784637622.226,GMX,6.6073,False,False,HL,False
1784642181.307,JUP,6.6042,False,False,HL,False
1784643701.283,LDO,6.5822,False,False,HL,False
1784640357.586,CRV,6.5753,False,False,HL,False
1784637622.226,LTC,6.5737,False,False,HL,False
1784639141.827,ENA,6.5727,False,False,HL,False
1784641572.925,JUP,6.5392,False,False,HL,False
1784633292.414,ARB,-6.5165,False,False,BINANCE,False
1784639141.827,INJ,6.5139,False,False,HL,False
1784639141.827,JUP,6.5065,False,False,HL,False
1784637622.226,APT,-6.492,False,False,BINANCE,False
1784643701.283,CRV,6.4868,False,False,HL,False
1784637014.447,CRV,6.4718,False,False,HL,False
1784644005.272,LTC,6.4678,False,False,HL,False
1784637925.926,SNX,6.4637,False,False,HL,False
1784637925.926,BLUR,6.4371,False,False,HL,False
1784638837.884,LINK,6.4313,False,False,HL,False
1784644917.022,NEAR,6.409,False,False,HL,False
1784640053.761,PYTH,6.3911,False,False,HL,False
1784641269.462,BLUR,6.385,False,False,HL,False
1784644613.105,WIF,6.3819,False,False,HL,False
1784641876.905,SEI,-6.3627,False,False,BINANCE,False
1784643397.546,RUNE,6.3619,False,False,HL,False
1784641269.462,SNX,6.3613,False,False,HL,False
1784637318.855,ENA,6.3423,False,False,HL,False
1784644613.105,FIL,-6.3409,False,False,BINANCE,False
1784641269.462,ORDI,6.3376,False,False,HL,False
1784643093.789,DOT,-6.3333,False,False,BINANCE,False
1784638533.665,ARB,-6.327,False,False,BINANCE,False
1784631736.099,ARB,-6.3147,False,False,BINANCE,False
1784643701.283,ENA,6.3032,False,False,HL,False
1784637622.226,LINK,6.2775,False,False,HL,False
1784643093.789,LTC,6.2565,False,False,HL,False
1784632952.579,DOGE,6.2559,False,False,HL,False
1784641876.905,SOL,-6.2444,False,False,BINANCE,False
1784638229.755,LINK,6.2301,False,False,HL,False
1784641876.905,ENA,6.2233,False,False,HL,False
1784643701.283,PYTH,6.2189,False,False,HL,False
1784637622.226,ENA,6.2155,False,False,HL,False
1784639749.948,RUNE,6.207,False,False,HL,False
1784637925.926,ENA,6.1898,False,False,HL,False
1784643093.789,CRV,6.186,False,False,HL,False
1784638533.665,ADA,6.1788,False,False,HL,False
1784636407.069,ARB,-6.1414,False,False,BINANCE,False
1784641572.925,CRV,6.1249,False,False,HL,False
1784643093.789,GMX,6.0913,False,False,HL,False
1784641572.925,SNX,6.0735,False,False,HL,False
1784641269.462,CRV,6.0719,False,False,HL,False
1784643093.789,JUP,6.0582,False,False,HL,False
1784638837.884,BNB,-6.0553,False,False,BINANCE,False
1784643397.546,AAVE,6.0322,False,False,HL,False
1784644917.022,ATOM,-6.0201,False,False,BINANCE,False
1784643093.789,LINK,6.0194,False,False,HL,False
